broken_name,substring_candidates,occurrences,sample_sources
自由基稳定性,03-知识点/有机化学/自由基.md | 04-专题与题型/题型/题型-自由基稳定性比较.md | 04-题库/有机化学/活性中间体与反应机理/题-有机-中间体-碳正离子碳负离子自由基稳定性比较.md,4,04-题库/有机化学/活性中间体与反应机理/题-有机-中间体-碳正离子碳负离子自由基稳定性比较.md; 04-题库/有机化学/自由基反应/题-有机-自由基-烷烃卤代选择性计算.md
配位聚合物,03-知识点/有机化学/高分子化学.md | 04-题库/真题/第26届初赛/化学原理/题-026-1-1-Zn氨配位现象与方程.md | 04-题库/真题/第34届决赛/理论/题-34决理-2-1-3-硅烷配位聚合物.md,4,04-题库/真题/第25届决赛/理论/题-025决-1-3-2-AgSCN聚合物结构.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-1-3-硅烷配位聚合物.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-3-1-MOF5结构与化学式.md
氧化还原方程式配平,04-专题与题型/题型/题型-氧化还原方程式配平.md | 04-题库/真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md | 04-题库/真题/第26届初赛/化学原理/题-026-8-4-UCl3加入pH4缓冲液.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-3-4-硫脲溶解金离子方程式.md | 04-题库/真题/第27届初赛/有机化学/题-027-7-有机推断ABCDF.md | 04-题库/真题/第28届初赛/无机和结构化学/题-028-8-1-生成C和D的反应方程式.md,4,04-题库/真题/第25届初赛/分析化学/题-025-4-1-固溶体溶解反应.md; 04-题库/真题/第32届初赛/无机和结构化学/题-032-1-1-氮化硅制备方程式.md; 备课思路/第二轮总体备课框架.md
歧化,03-知识点/无机和结构化学/归中反应.md | 03-知识点/有机化学/Cannizzaro反应.md | 03-知识点/有机化学/Tishchenko反应.md | 04-专题与题型/题型/题型-硫的歧化反应.md | 04-题库/有机化学/羰基化学与缩合反应/题-有机-羰基-Cannizzaro歧化反应机理.md | 04-题库/真题/第29届初赛/无机和结构化学/题-029-1-4-硫酸银与硫歧化方程式.md,4,04-题库/真题/第27届初赛/无机和结构化学/题-027-1-5-Fe(OH)2转化为Fe3O4.md; 07-资料提炼/书籍提炼/提炼-无机化学第6版-第5章-氧化还原反应180-212.md; 10-附件/图注/Frost图-氮元素实例.md
"""化学平衡""",03-知识点/化学原理/化学平衡.md | 04-题库/真题/第25届决赛/理论/题-025决-3-恒压反应器化学平衡.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-3-体积比及物质的量之比.md,4,04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md; 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md; 04-题库/真题/第30届初赛/化学原理/题-030-6-3-体积比及物质的量之比.md
氧化学,03-知识点/有机化学/环氧化反应.md,4,04-题库/真题/第34届决赛/理论/题-34决理-1-3-1-超氧离子分子轨道.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-3-化合物杂化轨道.md
电化学合成,03-知识点/化学原理/电化学.md | 04-题库/真题/第29届初赛/化学原理/题-029-6-1-铝离子电池电极反应.md | 04-题库/真题/第34届决赛/理论/题-34决理-2-5-6-合成氨电化学合成.md | 07-资料提炼/书籍提炼/提炼-普化原理-第10章-氧化还原电化学.md,4,04-题库/真题/第34届决赛/理论/题-34决理-2-5-4-合成氨催化剂与电化学.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-5-6-合成氨电化学合成.md
金属氢化物,03-知识点/无机和结构化学/氢化物.md,4,07-资料提炼/教学逻辑提炼/Zchem 中级无机结构化学/教学逻辑提炼-Zchem-主族元素的结构化学II-第二轮深化.md
电化学腐蚀,03-知识点/化学原理/电化学.md | 04-题库/真题/第29届初赛/化学原理/题-029-6-1-铝离子电池电极反应.md | 07-资料提炼/书籍提炼/提炼-普化原理-第10章-氧化还原电化学.md,4,07-资料提炼/教学逻辑提炼/Zchem 物理化学 下/教学逻辑提炼-Zchem-电化学-第一轮.md
单组分相图,03-知识点/物理化学/相图.md | 03-知识点/物理化学/相图与相平衡.md,4,07-资料提炼/教学逻辑提炼/Zchem 物理化学 下/教学逻辑提炼-Zchem-相平衡与胶体-第三轮.md
有机化学绪论,04-题库/经典例题/有机化学/索引.md,4,07-资料提炼/教学逻辑提炼/学而思 有机化学基础/教学逻辑提炼-学而思有机化学基础-批次A-第三轮起步.md; 07-资料提炼/网课资料/学而思 有机化学基础/资料提炼-学而思有机化学基础-批次A-绪论烷烃立体化学.md
KP-惰性电子对效应,03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/惰性对效应.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-4-2-钠氦化合物结构.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-p区金属串讲-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-氮族元素与铜副族-第一轮.md
KP-密堆积,03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/密堆积.md | 03-知识点/无机和结构化学/等径球堆积.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-晶体结构-第一轮.md
KP-碱金属,03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/碱金属.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/无机和结构化学/题-030-1-2-碱金属性质递变非单调性.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-碱金属和碱土金属-第一轮.md
KP-锂的特殊性,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-碱金属和碱土金属-第一轮.md
KP-铍,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-碱金属和碱土金属-第一轮.md
KP-18电子规则,03-知识点/决赛要求/金属有机与超分子/金属有机化学深化.md | 03-知识点/化学原理/平衡常数.md | 03-知识点/无机和结构化学/18电子规则.md | 03-知识点/无机和结构化学/8电子规则.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-铁系元素-第一轮.md
KP-配体对电势的影响,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-铁系元素-第一轮.md
{KP名},03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,11-模板/Agent-7-KP优化-轻量.md; 11-模板/模板-教学过程总表.md
KP-X,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,4,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-复盘记录.md; 11-模板/模板-课件大纲.md
target,03-知识点/分析化学/终点误差.md | 03-知识点/无机和结构化学/碳族元素.md | 03-知识点/无机和结构化学/稀有气体.md,4,11-模板/Agent提示词-知识库维护.md; 11-模板/模板-差异对照表.md
<target>,03-知识点/分析化学/终点误差.md | 03-知识点/无机和结构化学/碳族元素.md | 03-知识点/无机和结构化学/稀有气体.md,4,11-模板/Agent提示词-知识库维护.md; 11-模板/模板-合并迁移计划.md
题型-,"04-专题与题型/题型/题型-1,2与1,4加成判断.md | 04-专题与题型/题型/题型-HSAB规则应用.md | 04-专题与题型/题型/题型-Lewis结构式书写.md | 04-专题与题型/题型/题型-R-S构型判断.md | 04-专题与题型/题型/题型-SN1-SN2-E1-E2竞争判断.md | 04-专题与题型/题型/题型-两性物质鉴别.md",4,11-模板/模板-专题.md; 11-模板/模板-知识点.md; 11-模板/模板-考纲条目.md
04-专题与题型/专题-XXX,04-专题与题型/专题与题型.md,3,00-首页/Agent标准作业流程.md; 备课思路/提炼→教学转化标准操作.md
模板效应,11-模板/模板.md,3,00-首页/图片索引.md; 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学第7章-模板和自组装.md
反应机理同源谱系图,03-知识点/有机化学/反应机理.md | 04-题库/真题/第27届初赛/有机化学/题-027-9-1-同位素标记反应历程.md | 04-题库/真题/第31届初赛/有机化学/题-031-8-2-反应类型与立体化学.md,3,00-首页/工作日志/2026-05-06.md; 00-首页/知识库待补充清单.md; 09-审计报告/归档首页/知识库待补充清单.md
